case	family	hex	mark	strokes	admissible	components	enum	groupEnum	groupFill	groupBox%	heightCV	pop%
artofficial.jpg	family-1540	#04002a	0.000	24	388	8168	0.003	0.062	0.5179	100.00	1.489	18.1344
artofficial.jpg	family-10344	#fded9f	0.001	24	224	3349	0.007	0.107	0.2965	54.70	1.443	7.5183
artofficial.jpg	family-3746	#35325d	0.000	24	88	4270	0.006	0.273	0.1088	98.01	1.393	5.3136
artofficial.jpg	family-9043	#f0bb37	0.000	24	291	11189	0.002	0.082	0.1613	100.00	1.210	8.2809
artofficial.jpg	family-9884	#f5e50c	0.002	24	240	3686	0.007	0.100	0.1058	76.07	1.068	3.7949
artofficial.jpg	family-3285	#1d313a	0.000	24	163	17840	0.001	0.147	0.0361	92.99	0.731	4.2216
artofficial.jpg	family-2423	#161439	0.000	24	225	17587	0.001	0.107	0.0427	97.32	0.713	4.8331
artofficial.jpg	family-7257	#a09440	0.000	21	45	22566	0.001	0.467	0.0055	70.11	0.477	3.8010
artofficial.jpg	family-8140	#c0ac33	0.000	24	63	19064	0.001	0.381	0.0068	89.32	0.489	3.1709
artofficial.jpg	family-5933	#717246	0.000	23	71	22592	0.001	0.324	0.0061	89.03	0.322	4.0956
artofficial.jpg	family-4609	#455143	0.000	23	51	16182	0.001	0.451	0.0063	79.86	0.460	2.7252
artofficial.jpg	family-1101	#09000f	0.000	21	48	2470	0.009	0.438	0.0063	61.70	0.350	0.7432
artofficial.jpg	family-4146	#0f4c4d	0.000	24	89	12033	0.002	0.270	0.0200	61.44	0.661	2.5363
artofficial.jpg	family-5450	#1a7643	0.000	24	106	9365	0.003	0.226	0.0248	98.40	1.176	2.2792
artofficial.jpg	family-5028	#0f6469	0.001	24	58	4442	0.005	0.414	0.0117	88.08	0.779	1.2054
artofficial.jpg	family-6815	#878a5d	0.000	5	6	14247	0.000	0.833	0.0026	36.94	0.807	2.0080
artofficial.jpg	family-7655	#5eb370	0.003	24	109	3822	0.006	0.220	0.0472	95.30	1.121	2.1030
