=== supervisor: starting worker (restart 0/20) at 2026-08-03T12:38:01Z
{
	"scope": "sample",
	"manifest": "/Users/Flo/GitHub/palette/research/v3/data/oracle-ladder/manifest.json",
	"prompt": "group-a.v1/B",
	"prompt_hash": "c46f055e873fe7a0b9b569b1fd1444a194d3803ff11196e4f71441b7d07e6fc4",
	"artworks": 400,
	"images": 1800,
	"already_done": 0,
	"queued": 1800,
	"poisoned_over_attempt_cap": 0,
	"queued_by_long_edge_bin": {
		"0-160": 452,
		"161-240": 15,
		"241-340": 474,
		"341-440": 60,
		"441-560": 270,
		"561-680": 238,
		"681-900": 242,
		"901-1400": 25,
		"1401+": 24
	},
	"largest_queued_px": 3000,
	"resolution_policy": "native",
	"out": "../../data/oracle-ladder/ladder-codec-control-1.jsonl",
	"constrained_decoding": true
}
loading mlx-community/Qwen3-VL-30B-A3B-Instruct-6bit @ f31102655767 ...
Fetching 18 files:   0%|          | 0/18 [00:00<?, ?it/s]Fetching 18 files: 100%|██████████| 18/18 [00:00<00:00, 5266.29it/s]
model loaded in 4.4s
canary baseline set: {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[1/1800] bfc8fa5f53d6 147px ok 2.2s (6.7s/item avg, ~202 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'thin_border', 'confidence': 'high', 'ambiguity_note': ''}
[2/1800] fda547c58900 333px ok 2.8s (4.8s/item avg, ~143 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[3/1800] ca71c3c4224a 332px ok 2.3s (3.9s/item avg, ~118 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[4/1800] c4f5e8637499 333px ok 2.7s (3.6s/item avg, ~108 min left) {'ground_type': 'pattern_or_texture', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[5/1800] 498d62d9ae77 640px ok 2.8s (3.5s/item avg, ~104 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[6/1800] d7c7e2b2b9bc 483px ok 2.5s (3.3s/item avg, ~99 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[7/1800] 3c8a7ed0cccb 253px ok 2.1s (3.1s/item avg, ~94 min left) {'ground_type': 'multiple_distinct_fields', 'shading_geometry': 'not_applicable', 'field_texture': 'one_textured_material', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[8/1800] 00183c6f2856 640px ok 2.7s (3.1s/item avg, ~92 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[9/1800] 2fb1921c8cda 700px ok 2.9s (3.1s/item avg, ~91 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
[10/1800] 9305628bddee 147px ok 2.4s (3.0s/item avg, ~89 min left) {'ground_type': 'flat_field', 'shading_geometry': 'not_applicable', 'field_texture': 'smooth', 'enclosure': 'none', 'confidence': 'high', 'ambiguity_note': ''}
