gate	passing/144	ceiling	agreementAll	agreementAmongPassing	rampRecall	phantomRate	falseUnreadable	censusUnreadable	censusVerdictMoved	censusPairMoved
0	144/144	1.0000	0.4722	0.4722	0.4706	0.5556	0.0000	0/60	39/60	27/60
0.05	143/144	1.0000	0.4722	0.4685	0.4706	0.5556	0.0069	0/60	39/60	27/60
0.1	142/144	1.0000	0.4722	0.4648	0.4706	0.5556	0.0139	0/60	39/60	27/60
0.15	141/144	1.0000	0.4792	0.4681	0.4706	0.5493	0.0208	2/60	37/60	25/60
0.2	138/144	1.0000	0.4861	0.4638	0.4706	0.5429	0.0417	2/60	37/60	25/60
0.25	119/144	0.9306	0.4931	0.4706	0.4118	0.5410	0.1736	9/60	30/60	20/60
0.3	105/144	0.8750	0.4792	0.4571	0.3235	0.5686	0.2708	14/60	25/60	17/60
0.35	90/144	0.8125	0.4583	0.4333	0.2500	0.6136	0.3750	21/60	18/60	13/60
0.4	78/144	0.7431	0.4375	0.4359	0.1765	0.6757	0.4583	31/60	8/60	5/60
0.45	63/144	0.6806	0.4375	0.4444	0.1324	0.7097	0.5625	33/60	6/60	4/60
0.5	51/144	0.6389	0.4583	0.4902	0.1176	0.6923	0.6458	39/60	0/60	0/60
0.55	42/144	0.6042	0.4514	0.4762	0.0735	0.7619	0.7083	45/60	6/60	4/60
0.6	36/144	0.5764	0.4375	0.4444	0.0294	0.8824	0.7500	48/60	9/60	6/60
